Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
dcorbiz hotel & restaurant,lucknow,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
hotel aryan,lucknow,2-star hotel,free wi-fi,room service,kitchen,full-service laundry,kid-friendly,0,0,0
hotel golden orchid,lucknow,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,room service,kitchen,airport shuttle,full-service laundry
fortune park bbd - hotel in lucknow,lucknow,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel millenia regency lucknow,lucknow,free breakfast,free parking,pool,air conditioning,restaurant,room service,full-service laundry,accessible,kid-friendly
golden tulip lucknow,lucknow,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
the grand radiant-3 star hotel in lucknow,lucknow,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
comfort inn,lucknow,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
"lebua lucknow, saraca estate",lucknow,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
comfort hotel vista,lucknow,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
hilton garden inn lucknow,lucknow,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
the park hotel,kolkata,5-star hotel,free breakfast,free wi-fi,paid parking,pool,hot tub,air conditioning,fitness center,spa
"the oberoi grand, kolkata",kolkata,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"the oberoi grand, kolkata",kolkata,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
the elite apartment hotel,kolkata,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,kitchen,airport shuttle
golden parkk hotel,kolkata,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,spa,bar,restaurant,room service
aristro club,kolkata,3-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,restaurant,room service
the panash (hotel and banquets),kolkata,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
hotel orchid inn,kolkata,free wi-fi,paid parking,pool,air conditioning,restaurant,full-service laundry,kid-friendly,0,0
bubble beds kolkata,kolkata,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,kitchen,full-service laundry,business center
hotel platinum,kolkata,3-star hotel,free breakfast,wi-fi,pool,air conditioning,pet-friendly,restaurant,kitchen,full-service laundry
aster guest house kolkata,kolkata,free breakfast,free wi-fi,air conditioning,pet-friendly,paid parking,restaurant,full-service laundry,kid-friendly,0
hotel radiant (kolkata),kolkata,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly
hotel afsha,kolkata,breakfast,free wi-fi,free parking,air conditioning,restaurant,airport shuttle,full-service laundry,accessible,0
backpackers park,kolkata,free breakfast,free wi-fi,paid parking,pool,air conditioning,kitchen,full-service laundry,0,0
hotel mayfair tower,kolkata,0,0,0,0,0,0,0,0,0
"the manor house, kolkata",kolkata,free breakfast,free wi-fi,pool,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
barsana boutique hotel,kolkata,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
hotel pan asia continental (a unit of sharda resources limited),kolkata,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
hotel emirates,kolkata,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,airport shuttle
the aster heritage,kolkata,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,room service,full-service laundry,business center,kid-friendly
calcutta bungalow| heritage rooms,kolkata,sleeps 13,6 bedrooms,air conditioning,fireplace,paid parking,free wi-fi,no crib,no elevator,no fitness center
"bhubanbari historic house airy twin room w 2 baths, kitchen, garden terrace",kolkata,house,sleeps 2,1 bedroom,2 bathrooms,kid-friendly,kitchen,smoke-free,free parking,no air conditioning
hotel pawan putra,kolkata,3-star hotel,free breakfast,free wi-fi,pool,air conditioning,paid parking,restaurant,full-service laundry,0
"fabhotel orion crystal - hotel in park circus, kolkata",kolkata,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
the elanza hotel,bangalore,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
"country inn & suites by radisson, bengaluru hebbal road",bangalore,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
kadackal farmhouse | rooms & pool,bangalore,sleeps 9,3 bedrooms,air conditioning,fireplace,cable tv,paid parking,no crib,no elevator,no fitness center
"country inn & suites by radisson, bengaluru hebbal road",bangalore,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
kings palace manyata,bangalore,sleeps 8,3 bedrooms,air conditioning,elevator,fireplace,cable tv,paid parking,free wi-fi,no crib
prestige residency,bangalore,free wi-fi,breakfast,room service,kitchen,full-service laundry,0,0,0,0
hotel tap paradise,bangalore,1-star hotel,free wi-fi,paid parking,pool,air conditioning,restaurant,kitchen,airport shuttle,full-service laundry
regenta inn grand koramangala,bangalore,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle,full-service laundry
guhantara,bangalore,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,spa,restaurant,full-service laundry
palm meadows resort,bangalore,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
holiday inn express & suites bengaluru omr,bangalore,4-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,fitness center,restaurant,room service,airport shuttle
howard johnson by wyndham bengaluru hebbal,bangalore,4-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,pet-friendly,fitness center,spa
the signature inn,bangalore,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly
"radisson blu hotel, atria bengaluru",bangalore,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
sap golden grande,bangalore,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
royal regency lodge,bangalore,3-star hotel,free wi-fi,free parking,air conditioning,breakfast,room service,airport shuttle,full-service laundry,accessible
the chancery pavilion,bangalore,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
bangalore gate hotel & conferences,bangalore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
"holiday inn bengaluru racecourse, an ihg hotel",bangalore,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
gokulam grand hotel & spa,bangalore,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
"taj yeshwantpur, bengaluru",bangalore,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
attide boutique hotel,bangalore,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
hyatt place hyderabad banjara hills,hyderabad,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
trident hotel hyderabad,hyderabad,5-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
the wilderness retreat,hyderabad,free breakfast,free wi-fi,free parking,pool,pet-friendly,restaurant,room service,full-service laundry,kid-friendly
hyderabad marriott hotel & convention centre,hyderabad,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
citadel hotels & conventions by vinnca,hyderabad,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,airport shuttle,full-service laundry,accessible
hotel rainbow tower,hyderabad,breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle,full-service laundry
"deccan serai hotel, hitec city, hyderabad",hyderabad,3-star hotel,breakfast,free wi-fi,paid parking,air conditioning,fitness center,restaurant,room service,airport shuttle
taramati baradari resort,hyderabad,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen
the grand plaza hotel,hyderabad,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,accessible
taj falaknuma palace,hyderabad,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"lemon tree hotel, gachibowli, hyderabad",hyderabad,4-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
hotel shubham palace - karmanghat,hyderabad,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry
restel studio flats,hyderabad,breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,kitchen,airport shuttle
ellaa hotel,hyderabad,4-star hotel,free breakfast,free wi-fi,paid parking,pool,hot tub,air conditioning,fitness center,spa
zibe hyderabad by grt hotels,hyderabad,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
ananya eco resorts,hyderabad,free breakfast,free wi-fi,free parking,air conditioning,restaurant,kid-friendly,0,0,0
hotel daspalla hyderabad,hyderabad,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
capital o jubilee banjara suites near city center mall,hyderabad,apartment,sleeps 4,2 bedrooms,air conditioning,cable tv,free wi-fi,no airport shuttle,no beach access,no elevator
luxury house in hyderabad with chef and driver,hyderabad,sleeps 6,3 bedrooms,4 bathrooms,kitchen,free parking,free wi-fi,no air conditioning,no airport shuttle,no beach access
"taj krishna, hyderabad",hyderabad,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
the wilderness retreat,hyderabad,free breakfast,free wi-fi,free parking,pool,pet-friendly,restaurant,room service,full-service laundry,kid-friendly
treebo trend south avenue with roadside view,pondicherry,3-star hotel,free breakfast,free wi-fi,air conditioning,bar,restaurant,room service,airport shuttle,full-service laundry
the bull boutique hotel,pondicherry,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
aashikha farm house,pondicherry,breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,room service,kitchen,airport shuttle
homestay hotel la villa pondi chérie guesthouse rooms,pondicherry,breakfast,free wi-fi,paid parking,pool,air conditioning,pet-friendly,fitness center,spa,restaurant
la grrande malar - the boutique hotel pondicherry,pondicherry,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry,0
treebo trend grace inn,pondicherry,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,kitchen,full-service laundry,kid-friendly
hotel bon sejour,pondicherry,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
esparan heritage,pondicherry,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
la maison pondichéry - heritage guesthouse,pondicherry,free breakfast,free wi-fi,free parking,air conditioning,beach access,restaurant,room service,airport shuttle,full-service laundry
lotus comfort- a pondy hotel,pondicherry,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,airport shuttle,full-service laundry,kid-friendly
pleasant inn,pondicherry,1-star hotel,free breakfast,wi-fi,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
a la villa creole,pondicherry,3-star hotel,free breakfast,wi-fi,air conditioning,restaurant,kitchen,airport shuttle,full-service laundry,kid-friendly
hotel le royal park,pondicherry,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
raj residency,pondicherry,1-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,kitchen,airport shuttle
hotel ram international,pondicherry,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
prince park farm house,pondicherry,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
hotel d'inn,pondicherry,3-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,kitchen,airport shuttle
hotel annamalai international,pondicherry,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
nomad house,pondicherry,free wi-fi,air conditioning,kitchen,full-service laundry,0,0,0,0,0
villa sentosa,pondicherry,free breakfast,free wi-fi,air conditioning,restaurant,kitchen,airport shuttle,full-service laundry,kid-friendly,0
her view i luxe room & kitchen,pondicherry,sleeps 12,4 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no beach access,no crib
maison petite singapore,pondicherry,house,sleeps 10,5 bedrooms,5 bathrooms,air conditioning,smoke-free,free parking,free wi-fi,no airport shuttle
hotel gargee grand | best hotel in patna,patna,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
hotel amalfi grand,patna,4-star hotel,breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,airport shuttle
hotel fortune..,patna,3-star hotel,free wi-fi,paid parking,pool,restaurant,kitchen,full-service laundry,kid-friendly,0
hotel amalfi grand,patna,4-star hotel,breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,airport shuttle
hotel bodhi tree - best hotel in patna | hotels near patna junction railway station and patna airport,patna,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry,kid-friendly
"lemon tree premier, patna",patna,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
the grand empire | best 4 star luxury hotel in patna,patna,4-star hotel,breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,kitchen
hotel gargee grand | best hotel in patna,patna,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
ghar aangan resort,patna,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,restaurant,room service
the park pride,patna,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,full-service laundry,0,0
"hotel virasat retreat, opposit medanta hospital,patna",patna,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant,room service
buddha heritage,patna,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
hotel maurya,patna,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
hotel mundrika deluxe,patna,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
hotel aurelia pearl,patna,breakfast,free wi-fi,air conditioning,restaurant,room service,full-service laundry,smoke-free,0,0
the hotel bliss | best hotels in patna,patna,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
the avr hotel,patna,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
super oyo townhouse oak holiday grand,patna,apartment,sleeps 7,air conditioning,kitchen,cable tv,free wi-fi,no airport shuttle,no beach access,no elevator
hotel windsor,patna,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
"lemon tree premier, patna",patna,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
treebo trend seven suites,nagpur,3-star hotel,free breakfast,free wi-fi,air conditioning,paid parking,room service,kitchen,full-service laundry,kid-friendly
treebo trend chalets,nagpur,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry
radisson blu hotel nagpur,nagpur,5-star hotel,breakfast,free wi-fi,paid parking,pool,hot tub,air conditioning,fitness center,spa
regenta central hotel & convention centre,nagpur,4-star hotel,free breakfast,wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
hotel the embassy,nagpur,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service
hotel centre point,nagpur,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
"the legend inn, nagpur",nagpur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle
orange tree hotels,nagpur,free breakfast,free wi-fi,pool,air conditioning,restaurant,room service,full-service laundry,0,0
octave parkland suites,nagpur,breakfast,free wi-fi,free parking,pool,air conditioning,room service,kitchen,full-service laundry,0
"rsvp nagpur(restro-bar,rooftop & rooms)",nagpur,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,full-service laundry,0,0
treebo trend chalets,nagpur,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry
hotel orient crown,nagpur,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,kitchen,smoke-free,0
hotel maitrayee,nagpur,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
hotel nagpur ashok,nagpur,3-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,spa,bar,restaurant
nirvana residency,nagpur,0,0,0,0,0,0,0,0,0
the paramount hotel,nagpur,free wi-fi,paid parking,pool,air conditioning,room service,kitchen,full-service laundry,smoke-free,0
hotel president nagpur,nagpur,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
treebo trend the pavilion,nagpur,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry,0
treebo trend hotel a1,nagpur,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,airport shuttle,full-service laundry
the park indore,indore,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
pride hotel & convention centre indore,indore,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
pride hotel & convention centre indore,indore,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
hotel solaris,indore,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
sayaji hotel indore,indore,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
best western plus indore,indore,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
fairfield by marriott indore,indore,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
jalsa resort & banquets,indore,free wi-fi,free parking,pool,spa,restaurant,kitchen,full-service laundry,accessible,kid-friendly
radisson blu hotel indore,indore,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
indore marriott hotel,indore,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
sheraton grand palace indore,indore,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
jardin hotels,indore,free breakfast,free wi-fi,free parking,pool,restaurant,room service,kitchen,full-service laundry,accessible
"wow crest, indore - ihcl seleqtions",indore,free breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,spa,bar,restaurant
effotel by sayaji,indore,4-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,airport shuttle
"hotel meritel grande, indore",indore,free breakfast,free wi-fi,free parking,air conditioning,spa,bar,restaurant,room service,kitchen
hotel vrindavan palace,indore,free wi-fi,free parking,pool,air conditioning,pet-friendly,room service,kitchen,full-service laundry,0
hotel shri niwas,indore,2-star hotel,free wi-fi,paid parking,pool,kitchen,full-service laundry,kid-friendly,0,0
jmc hotel s grande indore,indore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,kitchen
the park indore,indore,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
my special house,indore,sleeps 2,1 bedroom,air conditioning,fireplace,paid parking,free wi-fi,no crib,no elevator,no fitness center
astha lakshmi tourist homestay,indore,sleeps 6,2 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no crib,no elevator
treebo trend grand euro,indore,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,business center,kid-friendly
sayaji hotel indore,indore,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
trident hotel jaipur,jaipur,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
the lalit jaipur,jaipur,5-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel sarang palace - boutique stays & candlelight dining,jaipur,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,spa,bar,restaurant,room service
moustache jaipur,jaipur,2-star hotel,free wi-fi,pool,air conditioning,restaurant,kitchen,full-service laundry,0,0
chokhi dhani resort,jaipur,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"holiday inn jaipur city centre, an ihg hotel",jaipur,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
umaid bhawan-a royal heritage style boutique hotel,jaipur,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service
jaipur marriott hotel,jaipur,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"devi ratn, jaipur – ihcl seleqtions",jaipur,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,pet-friendly,fitness center
the lalit jaipur,jaipur,5-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel rajasthan palace,jaipur,3-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
welcomheritage traditional haveli,jaipur,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,spa,bar,restaurant
hilton jaipur,jaipur,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
"lemon tree premier, jaipur",jaipur,4-star hotel,breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel grand lotus inn,jaipur,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
"jai mahal palace, jaipur",jaipur,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
chokhi dhani resort,jaipur,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
dera jaipur,jaipur,sleeps 17,6 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no crib,no elevator
blue beds jaipur,jaipur,3-star hotel,breakfast,free wi-fi,paid parking,air conditioning,restaurant,kitchen,airport shuttle,full-service laundry
hotel royal orchid jaipur,jaipur,5-star hotel,free breakfast,free wi-fi,paid parking,pool,hot tub,air conditioning,fitness center,restaurant
ginger jaipur,jaipur,3-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,full-service laundry,kid-friendly,0
pride amber vilas resort & convention centre,jaipur,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
sureli haveli jaipur,jaipur,sleeps 2,1 bedroom,paid parking,no outdoor grill,not pet-friendly,not smoke-free,not wheelchair accessible,0,0
ibis nashik,nashik,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,fitness center,restaurant,full-service laundry
treebo trend abode,nashik,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,kitchen,full-service laundry,kid-friendly,0
birla ayurveda stay centre,nashik,sleeps 6,2 bedrooms,air conditioning,paid parking,free wi-fi,no crib,no elevator,no fireplace,no fitness center
ibis nashik,nashik,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,fitness center,restaurant,full-service laundry
raghunandan resort,nashik,0,0,0,0,0,0,0,0,0
the emerald park,nashik,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry
the gateway hotel ambad nashik,nashik,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
"enrise by sayaji - nashik, best banquet hotel",nashik,breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle,full-service laundry
"hotel royale heritage, nashik",nashik,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,airport shuttle
courtyard by marriott nashik,nashik,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
ginger nashik,nashik,3-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,kitchen,full-service laundry,kid-friendly
hotel panchavati yatri,nashik,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry
caves county,nashik,free breakfast,free wi-fi,free parking,restaurant,room service,full-service laundry,0,0,0
hotel rama heritage,nashik,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
panchavati elite inn,nashik,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
"holiday inn express nashik indira nagar, an ihg hotel",nashik,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,accessible
shakuntala farms - rustic farmstay with modern comforts,nashik,free breakfast,free wi-fi,free parking,air conditioning,kitchen,full-service laundry,0,0,0
hotel grand rio,nashik,4-star hotel,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,airport shuttle
"hotel mbc citadel nashik ( near sula, trimbakeshwar and midc area )",nashik,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
shriram guest house,nashik,free wi-fi,pool,kitchen,full-service laundry,kid-friendly,0,0,0,0
quality inn regency,nashik,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
"treebo trend the utsav, nashik",nashik,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen,full-service laundry
itsy by treebo - oasis pride,nashik,free breakfast,free wi-fi,free parking,air conditioning,room service,kitchen,full-service laundry,accessible,kid-friendly
best western bliss,kanpur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,kitchen
mvr grand hotel,kanpur,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,0
the landmark towers,kanpur,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
red orchid hotel kanpur,kanpur,free breakfast,free wi-fi,paid parking,bar,restaurant,room service,kitchen,full-service laundry,0
best western bliss,kanpur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,kitchen
hotel kartar yatri niwas,kanpur,free wi-fi,air conditioning,room service,kitchen,full-service laundry,0,0,0,0
vijay intercontinental,kanpur,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
moon and mars resort,kanpur,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle,full-service laundry
status club business hotel,kanpur,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,airport shuttle,full-service laundry
hotel bhagyaraj palace -best hotel in kanpur,kanpur,free wi-fi,paid parking,restaurant,room service,kitchen,full-service laundry,0,0,0
hotel the novelty,kanpur,free wi-fi,air conditioning,breakfast,paid parking,room service,kitchen,kid-friendly,smoke-free,0
little chef hotel,kanpur,3-star hotel,free breakfast,wi-fi,paid parking,air conditioning,fitness center,bar,restaurant,room service
