Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
kumarakom heritage resort & ayurveda,kumarakom,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,spa,bar,restaurant
rhythm kumarakom,kumarakom,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
manor backwater resort,kumarakom,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,kitchen,full-service laundry
illikkalam lakeside cottages,kumarakom,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,kitchen
ktdc waterscapes,kumarakom,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
backwater brook,kumarakom,free breakfast,free wi-fi,pool,restaurant,kitchen,full-service laundry,kid-friendly,0,0
gokulam grand resort and spa kumarakom,kumarakom,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant,room service
backwater ripples,kumarakom,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
lily pad on the vembanad,kumarakom,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,spa,restaurant,room service
kumarakom lake resort,kumarakom,5-star hotel,free breakfast,wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
renai green fields,kumarakom,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
kumarakom park resort,kumarakom,free breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service,full-service laundry
meenakshi river villa | rooms & wi-fi,kumarakom,sleeps 6,2 bedrooms,air conditioning,fireplace,paid parking,free wi-fi,no crib,no elevator,no fitness center
kumarakom wood castle,kumarakom,sleeps 3,1 bedroom,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no crib,no elevator
abad whispering palms | resort in kumarakom,kumarakom,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
illikkalam lakeside cottages,kumarakom,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,kitchen
treebo trend kuval inn,pune,free breakfast,free wi-fi,free parking,pool,air conditioning,full-service laundry,kid-friendly,0,0
hotel corporate stay,pune,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,airport shuttle
jugglers backpack,pune,free breakfast,free wi-fi,free parking,air conditioning,room service,kitchen,airport shuttle,full-service laundry,business center
hyatt pune,pune,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
"the central park hotel, pune",pune,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
"four points by sheraton hotel & serviced apartments, pune",pune,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel phoenix,pune,3-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
hotel anvisha executive,pune,0,0,0,0,0,0,0,0,0
ema family roomsa,pune,sleeps 6,2 bedrooms,air conditioning,fireplace,kitchen,cable tv,paid parking,free wi-fi,no crib
jm four hotel,pune,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
royal orchid central pune,pune,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
